품목,보관 조건,최소 보관 권장 기간 (일),비고
가다랑어,냉장/냉동,1,어패류. 냉동 시 30일
가래떡,냉장/냉동,3,생면/떡류. 냉동 시 30일
가지 (개),냉장,7,물기 없이 밀봉 보관
간깨,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
간돼지고기,냉장/냉동,3,육류. 냉동 시 30일
간마늘,냉장,3,신선 채소/향신료. 밀봉 보관.
간생강,냉장,3,신선 채소/향신료. 밀봉 보관.
간소고기,냉장/냉동,3,육류. 냉동 시 30일
간장 (통),실온,365,개봉 후 밀봉 보관
갈비,냉장/냉동,3,육류. 냉동 시 30일
갈치(생물) 1마리(대),냉장,1,장기 보관 시 냉동 필수
감자,실온,14,서늘하고 어두운 곳 보관
갓,냉장,3,밀봉하여 보관
강력분,실온,180,"가루류. 밀봉, 습기 주의."
건고추,실온,180,건조 식품. 밀봉 보관.
건더기,실온,180,건조 식품. 밀봉 보관.
건미역,실온,180,건조 식품. 밀봉 보관.
건새우,실온,180,건조 식품. 밀봉 보관.
건소면,냉장/냉동,3,생면/떡류. 냉동 시 30일
게맛살,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
계란,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
계란 (개),냉장,21,뾰족한 부분이 아래로 가도록 보관
계핏가루,실온,180,"가루류. 밀봉, 습기 주의."
고구마,냉장,3,신선 채소/향신료. 밀봉 보관.
고구마(밤고구마),실온,30,서늘하고 건조한 곳 보관
고등어,냉장/냉동,1,어패류. 냉동 시 30일
고등어통조림,냉장/냉동,1,어패류. 냉동 시 30일
고명용,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
고운,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
고운고추가루,실온,180,"가루류. 밀봉, 습기 주의."
고운고춧가루,실온,180,"가루류. 밀봉, 습기 주의."
고추장,실온/냉장,장기 보관,곰팡이 주의
고춧가루(국산),냉장,365,냉동 보관 시 색과 향 장기 유지
골뱅이,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
공심채,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
구운,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
구운어묵,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
국간장,냉장/실온,90,양념/소스류. 개봉 후 냉장.
국멸치,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
국물용,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
국수,실온,365,개봉 후 밀봉 필수
굴,냉장,1,개봉 후 당일 섭취 권장
굴소스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
굵은,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
굵은고추가루,실온,180,"가루류. 밀봉, 습기 주의."
굵은고춧가루,실온,180,"가루류. 밀봉, 습기 주의."
굵은소금(천일염),실온,장기 보관,습기 주의
그라나파다노치즈,냉장/실온,90,양념/소스류. 개봉 후 냉장.
김가루,실온,180,"가루류. 밀봉, 습기 주의."
김치,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
김치국물,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
김치속,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
깍두기,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
깐마늘,냉장,7,다진 후 냉동 보관 권장
깨소금,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
깻잎,냉장,3,젖은 종이 타월에 싸서 밀봉
꽃게(암게),냉장,1,장기 보관 시 냉동 필수
꽃소금,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
꽃소금을,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
꽈리고추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
낙지 (마리),냉장,1,장기 보관 시 냉동 필수
냉동감자,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
냉동꽃게,냉장/냉동,1,어패류. 냉동 시 30일
냉동삼겹살,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
냉이,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
냉장고를,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
너구리,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
노두유,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
누룩,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
뉴슈가,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
느타리,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
느타리버섯,냉장,3,신선 채소/향신료. 밀봉 보관.
느타리버섯전,냉장,3,신선 채소/향신료. 밀봉 보관.
다시마,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
다진마늘,냉장,3,신선 채소/향신료. 밀봉 보관.
다진생강,냉장,3,신선 채소/향신료. 밀봉 보관.
다진양파,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
단감,냉장,7,아삭함을 위해 냉장 보관
단무지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
달걀,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
달걀물,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
달래,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
